date|year|month|day|weekday|eng_name|eng_type|heb_name|heb_type|is_bank_holiday
2023-12-14|2023|12|14|Thursday|Hanukkah (Day 7)|Observance, Hebrew|חנוכה (7)|חגים דתיים|0
2023-12-15|2023|12|15|Friday|Hanukkah (Day 8)|Observance, Hebrew|חנוכה (8)|חגים דתיים|0
2023-12-22|2023|12|22|Friday|Asarah B'Tevet (Tenth of Tevet)|Observance, Hebrew|צום עשרה בטבת|חגים דתיים|0
2024-01-25|2024|1|25|Thursday|Tu Bishvat|Observance, Hebrew|"ט""ו בשבט"|חגים דתיים|0
2024-01-27|2024|1|27|Saturday|Holocaust Remembrance Day|International, business as usual|"יום הזכרון הבנ""ל לשואה"|ימים מוכרים בינלאומית|0
2024-03-21|2024|3|21|Thursday|Fast of Esther|Observance, Hebrew|תענית אסתר|חגים דתיים|0
2024-03-24|2024|3|24|Sunday|Purim|Local Holiday|פורים|חגים דתיים|0
2024-03-25|2024|3|25|Monday|Shushan Purim (Jerusalem)|Local Holiday|שושן פורים|חגים דתיים|0
2024-04-22|2024|4|22|Monday|Passover Eve|Observance, Hebrew|ערב פסח|חגים דתיים|0
2024-04-23|2024|4|23|Tuesday|Passover (Day 1)|National holiday, Hebrew|פסח|חגים דתיים|1
2024-04-24|2024|4|24|Wednesday|Passover (Day 2)|Observance, Hebrew|חול המועד פסח (1)|חגים דתיים|0
2024-04-25|2024|4|25|Thursday|Passover (Day 3)|Observance, Hebrew|חול המועד פסח (2)|חגים דתיים|0
2024-04-26|2024|4|26|Friday|Passover (Day 4)|Observance, Hebrew|חול המועד פסח (3)|חגים דתיים|0
2024-04-27|2024|4|27|Saturday|Passover (Day 5)|Observance, Hebrew|חול המועד פסח (4)|חגים דתיים|0
2024-04-28|2024|4|28|Sunday|Passover (Day 6)|Observance, Hebrew|ערב פסח (חג שני)|חגים דתיים|0
2024-04-29|2024|4|29|Monday|Passover (Day 7)|National holiday, Hebrew|שביעי של פסח|חגים דתיים|1
2024-05-06|2024|5|6|Monday|Yom HaShoah|Observance, Hebrew|יום הזכרון לשואה ולגבורה|חגים חילוניים|0
2024-05-13|2024|5|13|Monday|Yom HaZikaron|Observance, Hebrew|"יום הזכרון לחללי צה""ל"|חגים חילוניים|0
2024-05-14|2024|5|14|Tuesday|Yom HaAtzmaut|National holiday, Hebrew|יום העצמאות|חגים חילוניים|1
2024-05-26|2024|5|26|Sunday|Lag BaOmer|Observance, Hebrew|"ל""ג בעומר"|חגים דתיים|0
2024-06-05|2024|6|5|Wednesday|Jerusalem Day|Observance, Hebrew|יום ירושלים|חגים חילוניים|0
2024-06-11|2024|6|11|Tuesday|Shavuot Eve|Observance, Hebrew|ערב שבועות|חגים דתיים|0
2024-06-12|2024|6|12|Wednesday|Shavuot|National holiday, Hebrew|שבועות|חגים דתיים|1
2024-07-23|2024|7|23|Tuesday|17th of Tammuz|Observance, Hebrew|צום שבעה עשר בתמוז|חגים דתיים|0
2024-08-12|2024|8|12|Monday|Tisha B'Av Eve|Observance, Hebrew|ערב תשעה באב|חגים דתיים|0
2024-08-13|2024|8|13|Tuesday|Tisha B'Av|Observance, Hebrew|תשעה באב|חגים דתיים|0
2024-10-02|2024|10|2|Wednesday|Rosh Hashana Eve|Observance, Hebrew|ערב ראש השנה|חגים דתיים|0
2024-10-03|2024|10|3|Thursday|Rosh Hashana|National holiday, Hebrew|ראש השנה א'|חגים דתיים|1
2024-10-04|2024|10|4|Friday|Rosh Hashana (Day 2)|National holiday, Hebrew|ראש השנה ב'|חגים דתיים|1
2024-10-06|2024|10|6|Sunday|Gedaliah Fast|Observance, Hebrew|צום גדליה|חגים דתיים|0
2024-10-11|2024|10|11|Friday|Yom Kippur Eve|Observance, Hebrew|ערב יום כיפור|חגים דתיים|0
2024-10-12|2024|10|12|Saturday|Yom Kippur|National holiday, Hebrew|יום כיפור|חגים דתיים|1
2024-10-16|2024|10|16|Wednesday|Sukkot Eve|Observance, Hebrew|ערב סוכות|חגים דתיים|0
2024-10-17|2024|10|17|Thursday|Sukkot (Day 1)|National holiday, Hebrew|סוכות|חגים דתיים|1
2024-10-18|2024|10|18|Friday|Sukkot (Day 2)|Observance, Hebrew|חול המועד סוכות (1)|חגים דתיים|0
2024-10-19|2024|10|19|Saturday|Sukkot (Day 3)|Observance, Hebrew|חול המועד סוכות (2)|חגים דתיים|0
2024-10-20|2024|10|20|Sunday|Sukkot (Day 4)|Observance, Hebrew|חול המועד סוכות (3)|חגים דתיים|0
2024-10-21|2024|10|21|Monday|Sukkot (Day 5)|Observance, Hebrew|חול המועד סוכות (4)|חגים דתיים|0
2024-10-22|2024|10|22|Tuesday|Sukkot (Day 6)|Observance, Hebrew|חול המועד סוכות (5)|חגים דתיים|0
2024-10-23|2024|10|23|Wednesday|Sukkot (Day 7) / Hoshanah Rabah|Observance, Hebrew|ערב שמחת תורה|חגים דתיים|0
2024-10-24|2024|10|24|Thursday|Shemini Atzeret / Simchat Torah|National holiday, Hebrew|שמחת תורה|חגים דתיים|1
2024-12-26|2024|12|26|Thursday|Hanukkah (Day 1)|Observance, Hebrew|חנוכה (1)|חגים דתיים|0
2024-12-27|2024|12|27|Friday|Hanukkah (Day 2)|Observance, Hebrew|חנוכה (2)|חגים דתיים|0
2024-12-28|2024|12|28|Saturday|Hanukkah (Day 3)|Observance, Hebrew|חנוכה (3)|חגים דתיים|0
2024-12-29|2024|12|29|Sunday|Hanukkah (Day 4)|Observance, Hebrew|חנוכה (4)|חגים דתיים|0
2024-12-30|2024|12|30|Monday|Hanukkah (Day 5)|Observance, Hebrew|חנוכה (5)|חגים דתיים|0
